"","Active.Date","COUNTY","SED.CODE","LEGAL.NAME","INSTITUTION.TYPE.CODE","INSTITUTION.TYPE.DESCRIPTION","INSTITUTION.SUB.TYPE.CODE","INSTITUTION.SUB.TYPE.DESCRIPTION","NEEDS.RESOURCE.CODE","NEEDS.RESOURCE.DESCRIPTION","GRADE.ORGANIZATION.CODE","GRADE.ORGANIZATION.DESCRIPTION","COMMUNITY.TYPE.CODE","COMMUNITY.TYPE.DESCRIPTION","MAILING.ADDRESS","MAIL.CITY","STATE","ZIP","SALUTATION","CEO.FIRST.NAME","CEO.LAST.NAME","CEO.PHONE","CEO.EMAIL","lon","lat"
"87","7/1/1980","ONONDAGA",420401060005,"EAST SYRACUSE MINOA CENTRAL HIGH SCHOOL",17,"PUBLIC SCHOOLS",7,"PUBLIC SCHOOL INDEPENDENT CENTRAL",5,"AVERAGE NEEDS",5,"Senior High",75,75,"6400 FREMONT RD","EAST SYRACUSE","NY",13057,"MR.","GRENARDO","AVELLINO",3154343300,"gavellino@esmschools.org",-76.0270599,43.0820748
"88","7/1/1980","ONONDAGA",420401060009,"MINOA ELEMENTARY SCHOOL",17,"PUBLIC SCHOOLS",7,"PUBLIC SCHOOL INDEPENDENT CENTRAL",5,"AVERAGE NEEDS",1,"Elementary",75,75,"501 N MAIN ST","MINOA","NY",13116,"MS.","MARY","WARD",3154343420,"mward@esmschools.org",-76.003353,43.080615
"89","7/1/1980","ONONDAGA",420401060010,"PINE GROVE MIDDLE SCHOOL",17,"PUBLIC SCHOOLS",7,"PUBLIC SCHOOL INDEPENDENT CENTRAL",5,"AVERAGE NEEDS",2,"Middle School",75,75,"6318 FREMONT RD","EAST SYRACUSE","NY",13057,"MR.","DOUGLAS","MOHORTER",3154343050,"dmohorter@esmschools.org",-76.0234152,43.0781237
"90","7/1/1980","ONONDAGA",420411060002,"JAMESVILLE ELEMENTARY SCHOOL",17,"PUBLIC SCHOOLS",7,"PUBLIC SCHOOL INDEPENDENT CENTRAL",5,"AVERAGE NEEDS",1,"Elementary",75,75,"6409 E SENECA TPKE","JAMESVILLE","NY",13078,"MR.","PETER","REYES",3154458460,"preyes@jd.cnyric.org",-76.0763866,42.9930614
"91","7/1/1980","ONONDAGA",420411060003,"MOSES DEWITT ELEMENTARY SCHOOL",17,"PUBLIC SCHOOLS",7,"PUBLIC SCHOOL INDEPENDENT CENTRAL",5,"AVERAGE NEEDS",1,"Elementary",75,75,"201 JAMESVILLE RD","DEWITT","NY",13214,"MS.","MARY","SYLVESTER",3154458370,"msylvester@jd.cnyric.org",-76.0688362,43.032927
"92","7/1/1990","ONONDAGA",420411060004,"TECUMSEH ELEMENTARY SCHOOL",17,"PUBLIC SCHOOLS",7,"PUBLIC SCHOOL INDEPENDENT CENTRAL",5,"AVERAGE NEEDS",1,"Elementary",75,75,"901 NOTTINGHAM RD","JAMESVILLE","NY",13078,"MS.","JILL","ZERRILLO",3154458320,"jzerrillo@jd.cnyric.org",-76.10007,43.020296
"93","7/1/1980","ONONDAGA",420411060005,"JAMESVILLE-DEWITT MIDDLE SCHOOL",17,"PUBLIC SCHOOLS",7,"PUBLIC SCHOOL INDEPENDENT CENTRAL",5,"AVERAGE NEEDS",2,"Middle School",75,75,"6280 RANDALL RD","JAMESVILLE","NY",13078,"MR.","THOMAS","ELDRIDGE",3154458360,"aeldridge@jd.cnyric.org",-76.0852604,43.0296795
"95","7/1/1980","ONONDAGA",420501060001,"ELBRIDGE ELEMENTARY SCHOOL",17,"PUBLIC SCHOOLS",7,"PUBLIC SCHOOL INDEPENDENT CENTRAL",5,"AVERAGE NEEDS",1,"Elementary",76,76,"PO BOX 170","ELBRIDGE","NY",13060,"MR.","R J","HARTWELL",3156898540,"rjhartwell@jecsd.org",-76.4440618,43.0342108
"100","7/1/1980","ONONDAGA",420701060001,"WESTHILL HIGH SCHOOL",17,"PUBLIC SCHOOLS",7,"PUBLIC SCHOOL INDEPENDENT CENTRAL",5,"AVERAGE NEEDS",5,"Senior High",76,76,"4501 ONONDAGA BLVD","SYRACUSE","NY",13219,"MR.","LEE","ROSCOE",3154263100,"lroscoe@westhillschools.org",-76.201979,43.030533
"101","7/1/1980","ONONDAGA",420701060002,"CHERRY ROAD ELEMENTARY SCHOOL",17,"PUBLIC SCHOOLS",7,"PUBLIC SCHOOL INDEPENDENT CENTRAL",5,"AVERAGE NEEDS",1,"Elementary",76,76,"201 CHERRY RD","SYRACUSE","NY",13219,"MS.","MAUREEN","MULDERIG",3154263300,"mmulderig@westhillschools.org",-76.2111043,43.0438886
"102","7/1/1987","ONONDAGA",420701060003,"WALBERTA PARK PRIMARY SCHOOL",17,"PUBLIC SCHOOLS",7,"PUBLIC SCHOOL INDEPENDENT CENTRAL",5,"AVERAGE NEEDS",1,"Elementary",76,76,"400 WALBERTA RD","SYRACUSE","NY",13219,"MS.","BETH","KRAMER",3154263200,"bkramer@westhillschools.org",-76.22386,43.041058
"103","7/1/1980","ONONDAGA",420701060004,"ONONDAGA HILL MIDDLE SCHOOL",17,"PUBLIC SCHOOLS",7,"PUBLIC SCHOOL INDEPENDENT CENTRAL",5,"AVERAGE NEEDS",2,"Middle School",76,76,"4860 ONONDAGA RD","SYRACUSE","NY",13215,"MR.","MARK","BEDNARSKI",3154263400,"mbednarski@westhillschools.org",-76.1814799,43.008057
"105","7/1/1980","ONONDAGA",420702030004,"SOLVAY HIGH SCHOOL",17,"PUBLIC SCHOOLS",3,"PUBLIC SCHOOL INDEPENDENT UNION FREE",3,"URBAN/SUBURBAN/HIGH NEEDS",5,"Senior High",76,76,"600 GERTRUDE AVE","SOLVAY","NY",13209,"MR.","JAY","TINKLEPAUGH",3154682551,"jtinklepaugh@solvayschools.org",-76.2155107,43.0579704
"108","7/1/1980","ONONDAGA",420807040003,"LA FAYETTE JUNIOR-SENIOR HIGH SCHOOL",17,"PUBLIC SCHOOLS",4,"PUBLIC SCHOOL CENTRAL",5,"AVERAGE NEEDS",4,"Junior Senior School",77,77,"3122 ROUTE 11N","LAFAYETTE","NY",13084,"MR.","JASON","RYAN",3156773152,"jpryan@lafayetteschools.org",-76.117126,42.922473
"110","7/1/1980","ONONDAGA",420901060002,"HARRY E ELDEN ELEMENTARY SCHOOL",17,"PUBLIC SCHOOLS",7,"PUBLIC SCHOOL INDEPENDENT CENTRAL",5,"AVERAGE NEEDS",1,"Elementary",75,75,"29 E ONEIDA ST","BALDWINSVILLE","NY",13027,"MR.","THOMAS","COUGHLIN",3156386118,"tcoughlin@bville.org",-76.335417,43.1666163
"111","7/1/1980","ONONDAGA",420901060003,"CATHERINE M MCNAMARA ELEMENTARY SCHOOL",17,"PUBLIC SCHOOLS",7,"PUBLIC SCHOOL INDEPENDENT CENTRAL",5,"AVERAGE NEEDS",1,"Elementary",75,75,"7344 O'BRIEN RD","BALDWINSVILLE","NY",13027,"MS.","JANE","NADOLSKI",3156386130,"jnadolski@bville.org",-76.298956,43.1258252
"112","7/1/1980","ONONDAGA",420901060004,"L PEARL PALMER ELEMENTARY SCHOOL",17,"PUBLIC SCHOOLS",7,"PUBLIC SCHOOL INDEPENDENT CENTRAL",5,"AVERAGE NEEDS",1,"Elementary",75,75,"7864 HICKS RD","BALDWINSVILLE","NY",13027,"MS.","MELISSA","PIETRICOLA",3156386127,"mpietricola@bville.org",-76.2766521,43.1512272
"113","7/1/1980","ONONDAGA",420901060005,"VAN BUREN ELEMENTARY SCHOOL",17,"PUBLIC SCHOOLS",7,"PUBLIC SCHOOL INDEPENDENT CENTRAL",5,"AVERAGE NEEDS",1,"Elementary",75,75,"14 FORD ST","BALDWINSVILLE","NY",13027,"MS.","DANIELLE","NAHORNEY",3156386121,"dnahorney@bville.org",-76.3424729,43.1543875
"114","7/1/1980","ONONDAGA",420901060006,"THEODORE R DURGEE JUNIOR HIGH SCHOOL",17,"PUBLIC SCHOOLS",7,"PUBLIC SCHOOL INDEPENDENT CENTRAL",5,"AVERAGE NEEDS",3,"Junior High School",75,75,"29 E ONEIDA ST","BALDWINSVILLE","NY",13027,"MS.","BONNIE","VANBENSCHOTEN",3156386086,"bvanbenschoten@bville.org",-76.3321273,43.1659132
"115","7/1/1980","ONONDAGA",420901060007,"CHARLES W BAKER HIGH SCHOOL",17,"PUBLIC SCHOOLS",7,"PUBLIC SCHOOL INDEPENDENT CENTRAL",5,"AVERAGE NEEDS",5,"Senior High",75,75,"29 E ONEIDA ST","BALDWINSVILLE","NY",13027,"MR.","DONALD","ROOT",3156386008,"droot@bville.org",-76.333308,43.1636182
"116","7/1/1980","ONONDAGA",420901060008,"MAE E REYNOLDS SCHOOL",17,"PUBLIC SCHOOLS",7,"PUBLIC SCHOOL INDEPENDENT CENTRAL",5,"AVERAGE NEEDS",1,"Elementary",75,75,"222 DEERWOOD DR","BALDWINSVILLE","NY",13027,"MS.","MELISSA","CHIODO-MILLER",3156386124,"mmiller@bville.org",-76.3135235,43.1331748
"117","7/1/1980","ONONDAGA",420901060009,"DONALD S RAY SCHOOL",17,"PUBLIC SCHOOLS",7,"PUBLIC SCHOOL INDEPENDENT CENTRAL",5,"AVERAGE NEEDS",3,"Junior High School",75,75,"7650 VAN BUREN RD","BALDWINSVILLE","NY",13027,"MR.","ALEXANDER","EWING",3156386106,"aewing@bville.org",-76.3220109,43.1414055
"118","7/1/1980","ONONDAGA",421001060001,"FAYETTEVILLE ELEMENTARY SCHOOL",17,"PUBLIC SCHOOLS",7,"PUBLIC SCHOOL INDEPENDENT CENTRAL",6,"LOW NEEDS",1,"Elementary",75,75,"704 S MANLIUS ST","FAYETTEVILLE","NY",13066,"MS.","EILEEN","LUX",3156921600,"elux@fmschools.org",-76.0020783,43.0211121
"119","7/1/1980","ONONDAGA",421001060002,"FAYETTEVILLE-MANLIUS SENIOR HIGH SCHOOL",17,"PUBLIC SCHOOLS",7,"PUBLIC SCHOOL INDEPENDENT CENTRAL",6,"LOW NEEDS",5,"Senior High",75,75,"8201 E SENECA TPKE","MANLIUS","NY",13104,"MR.","RAYMOND","KILMER",3156921900,"rkilmer@fmschools.org",-75.9589753,43.0077828
"120","7/1/1980","ONONDAGA",421001060005,"EAGLE HILL MIDDLE SCHOOL",17,"PUBLIC SCHOOLS",7,"PUBLIC SCHOOL INDEPENDENT CENTRAL",6,"LOW NEEDS",2,"Middle School",75,75,"4645 ENDERS RD","MANLIUS","NY",13104,"MS.","MAUREEN","MCCRYSTAL",3156921400,"mmccrystal@fmschools.org",-75.9564676,42.9963336
"121","7/1/1980","ONONDAGA",421001060006,"WELLWOOD MIDDLE SCHOOL",17,"PUBLIC SCHOOLS",7,"PUBLIC SCHOOL INDEPENDENT CENTRAL",6,"LOW NEEDS",2,"Middle School",75,75,"700 S MANLIUS ST","FAYETTEVILLE","NY",13066,"MS.","MELISSA","CORBIN",3156921300,"mcorbin@fmschools.org",-76.0011827,43.0227378
"122","7/1/1987","ONONDAGA",421001060007,"MOTT ROAD ELEMENTARY SCHOOL",17,"PUBLIC SCHOOLS",7,"PUBLIC SCHOOL INDEPENDENT CENTRAL",6,"LOW NEEDS",1,"Elementary",75,75,"7173 MOTT RD","FAYETTEVILLE","NY",13066,"MS.","JONNA","BALL-JOHNSON",3156921700,"jjohnson@fmschools.org",-76.0267699,43.0224855
"123","7/1/1980","ONONDAGA",421001060008,"ENDERS ROAD ELEMENTARY SCHOOL",17,"PUBLIC SCHOOLS",7,"PUBLIC SCHOOL INDEPENDENT CENTRAL",6,"LOW NEEDS",1,"Elementary",75,75,"4725 ENDERS RD","MANLIUS","NY",13104,"MS.","DEBORAH","CAPRI",3156921500,"dcapri@fmschools.org",-75.9556536,42.9987739
"124","7/1/1980","ONONDAGA",421101060001,"K C HEFFERNAN ELEMENTARY SCHOOL",17,"PUBLIC SCHOOLS",7,"PUBLIC SCHOOL INDEPENDENT CENTRAL",5,"AVERAGE NEEDS",1,"Elementary",76,76,"2 LEARNERS LNDG","MARCELLUS","NY",13108,"MR.","GARY","BISSAILLON",3156736100,"gbissaillon@marcellusschools.org",-76.3436052,42.9896693
"125","7/1/1980","ONONDAGA",421101060003,"MARCELLUS HIGH SCHOOL",17,"PUBLIC SCHOOLS",7,"PUBLIC SCHOOL INDEPENDENT CENTRAL",5,"AVERAGE NEEDS",5,"Senior High",76,76,"1 MUSTANG HILL","MARCELLUS","NY",13108,"MR.","JOHN","DURKEE",3156736300,"jdurkee@marcellusschools.org",-76.3431278,42.9924984
"126","7/1/1980","ONONDAGA",421101060004,"C S DRIVER MIDDLE SCHOOL",17,"PUBLIC SCHOOLS",7,"PUBLIC SCHOOL INDEPENDENT CENTRAL",5,"AVERAGE NEEDS",1,"Elementary",76,76,"2 REED PKWY","MARCELLUS","NY",13108,"MS.","JANET","O'MARA",3156736200,"jomara@marcellusschools.org",-76.3426274,42.9906312
"127","7/1/1980","ONONDAGA",421201040001,"ROCKWELL ELEMENTARY SCHOOL",17,"PUBLIC SCHOOLS",4,"PUBLIC SCHOOL CENTRAL",5,"AVERAGE NEEDS",1,"Elementary",77,77,"208 ROCKWELL RD","NEDROW","NY",13120,"MS.","MARGARET","HART",3155525070,"mhart@ocs.cnyric.org",-76.139026,42.976025
"128","7/1/1980","ONONDAGA",421201040002,"WHEELER ELEMENTARY SCHOOL",17,"PUBLIC SCHOOLS",4,"PUBLIC SCHOOL CENTRAL",5,"AVERAGE NEEDS",1,"Elementary",77,77,"4543 S ONONDAGA RD","NEDROW","NY",13120,"MR.","TIMOTHY","COWIN",3155525050,"tcowin@ocs.cnyric.org",-76.2009425,42.9322592
"129","7/1/1980","ONONDAGA",421201040003,"ONONDAGA SENIOR HIGH SCHOOL",17,"PUBLIC SCHOOLS",4,"PUBLIC SCHOOL CENTRAL",5,"AVERAGE NEEDS",4,"Junior Senior School",77,77,"4479 S ONONDAGA RD","NEDROW","NY",13120,"MR.","TIMOTHY","MUMFORD",3155525020,"tmumford@ocs.cnyric.org",-76.2035844,42.9307972
"130","7/1/1980","ONONDAGA",421501060001,"NATE PERRY ELEMENTARY SCHOOL",17,"PUBLIC SCHOOLS",7,"PUBLIC SCHOOL INDEPENDENT CENTRAL",5,"AVERAGE NEEDS",1,"Elementary",75,75,"7053 BUCKLEY RD","LIVERPOOL","NY",13088,"MS.","DANA","ZIEGLER",3154530272,"dziegler@liverpool.k12.ny.us",-76.161029,43.11268
"132","7/1/1980","ONONDAGA",421501060004,"ELMCREST ELEMENTARY SCHOOL",17,"PUBLIC SCHOOLS",7,"PUBLIC SCHOOL INDEPENDENT CENTRAL",5,"AVERAGE NEEDS",1,"Elementary",75,75,"350 WOODSPATH RD","LIVERPOOL","NY",13090,"MS.","DAPHNE","VALENTINE",3154531252,"dvalentine@liverpool.k12.ny.us",-76.238594,43.130838
"136","7/1/1980","ONONDAGA",421501060011,"LIVERPOOL HIGH SCHOOL",17,"PUBLIC SCHOOLS",7,"PUBLIC SCHOOL INDEPENDENT CENTRAL",5,"AVERAGE NEEDS",5,"Senior High",75,75,"4338 WETZEL RD","LIVERPOOL","NY",13090,"MR.","DOUGLAS","LAWRENCE",3154531500,"dlawrence@liverpool.k12.ny.us",-76.2165881,43.1480478
"137","7/1/1980","ONONDAGA",421501060012,"MORGAN ROAD ELEMENTARY SCHOOL",17,"PUBLIC SCHOOLS",7,"PUBLIC SCHOOL INDEPENDENT CENTRAL",5,"AVERAGE NEEDS",1,"Elementary",75,75,"7795 WETZEL RD","LIVERPOOL","NY",13090,"MR.","BRETT","WOODCOCK",3154531268,"bwoodcock@liverpool.k12.ny.us",-76.21027,43.1486582
"138","7/1/1980","ONONDAGA",421501060013,"SOULE ROAD ELEMENTARY SCHOOL",17,"PUBLIC SCHOOLS",7,"PUBLIC SCHOOL INDEPENDENT CENTRAL",5,"AVERAGE NEEDS",1,"Elementary",75,75,"8338 SOULE RD","LIVERPOOL","NY",13090,"MS.","JEANNE","BROWN",3154531280,"jbrown@liverpool.k12.ny.us",-76.2237936,43.1740137
"140","7/1/1980","ONONDAGA",421501060015,"LONG BRANCH ELEMENTARY SCHOOL",17,"PUBLIC SCHOOLS",7,"PUBLIC SCHOOL INDEPENDENT CENTRAL",5,"AVERAGE NEEDS",1,"Elementary",75,75,"4035 LONG BRANCH RD","LIVERPOOL","NY",13088,"MR.","ROBERT","MCCRONE",3154530261,"rmccrone@liverpool.k12.ny.us",-76.2325108,43.1275952
"141","7/1/1980","ONONDAGA",421501060016,"DONLIN DRIVE ELEMENTARY SCHOOL",17,"PUBLIC SCHOOLS",7,"PUBLIC SCHOOL INDEPENDENT CENTRAL",5,"AVERAGE NEEDS",1,"Elementary",75,75,"299 DONLIN DR","LIVERPOOL","NY",13088,"MS.","HEATHER","SILVIA",3154530249,"hsilvia@liverpool.k12.ny.us",-76.1740823,43.1144196
"142","7/1/1989","ONONDAGA",421501060019,"WILLOW FIELD ELEMENTARY SCHOOL",17,"PUBLIC SCHOOLS",7,"PUBLIC SCHOOL INDEPENDENT CENTRAL",5,"AVERAGE NEEDS",1,"Elementary",75,75,"3900 RT 31","LIVERPOOL","NY",13090,"MR.","JOHN","SARDELLA",3154531196,"jsardella@liverpool.k12.ny.us",-76.242371,43.183751
"143","7/1/1980","ONONDAGA",421504020001,"LYNCOURT SCHOOL",17,"PUBLIC SCHOOLS",2,"PUBLIC SCHOOL UNION FREE",5,"AVERAGE NEEDS",1,"Elementary",77,77,"2707-2709 COURT ST","SYRACUSE","NY",13208,"MS.","KIMBERLY","DAVIS",3154557571,"kdavis@lyncourtschool.org",-76.1315956,43.0843831
"145","7/1/1980","ONONDAGA",421601060003,"WATERMAN ELEMENTARY SCHOOL",17,"PUBLIC SCHOOLS",7,"PUBLIC SCHOOL INDEPENDENT CENTRAL",6,"LOW NEEDS",1,"Elementary",76,76,"55 EAST ST","SKANEATELES","NY",13152,"MR.","STEPHEN","WIDRICK",3152912351,"swidrick@skanschools.org",-76.4233152,42.955108
"146","7/1/1980","ONONDAGA",421601060004,"STATE STREET INTERMEDIATE SCHOOL",17,"PUBLIC SCHOOLS",7,"PUBLIC SCHOOL INDEPENDENT CENTRAL",6,"LOW NEEDS",1,"Elementary",76,76,"72 STATE ST","SKANEATELES","NY",13152,"MR.","STEPHEN","WIDRICK",3152912261,"swidrick@skanschools.org",-76.4253052,42.9517462
"147","7/1/1980","ONONDAGA",421601060005,"SKANEATELES MIDDLE SCHOOL",17,"PUBLIC SCHOOLS",7,"PUBLIC SCHOOL INDEPENDENT CENTRAL",6,"LOW NEEDS",2,"Middle School",76,76,"35 EAST ST","SKANEATELES","NY",13152,"MR.","GARY","GERST",3152912241,"ggerst@skanschools.org",-76.4206947,42.9511162
"148","7/1/1980","ONONDAGA",421800010003,"CLARY MIDDLE SCHOOL",17,"PUBLIC SCHOOLS",1,"PUBLIC SCHOOL CITY",2,"LARGE CITY",2,"Middle School",72,72,"100 AMIDON DR","SYRACUSE","NY",13205,"MS.","CHARINA","JOHNSON-TURNER",3154354411,"cjohnson-turner@scsd.us",-76.144503,42.996675
"149","7/1/1980","ONONDAGA",421800010004,"BELLEVUE ELEMENTARY SCHOOL",17,"PUBLIC SCHOOLS",1,"PUBLIC SCHOOL CITY",2,"LARGE CITY",1,"Elementary",72,72,"530 STOLP AVE","SYRACUSE","NY",13207,"MS.","SARAH","CUPELLI",3154354520,"scupelli@scsd.us",-76.1732072,43.0307232
"150","7/1/1980","ONONDAGA",421800010006,"VAN DUYN ELEMENTARY SCHOOL",17,"PUBLIC SCHOOLS",1,"PUBLIC SCHOOL CITY",2,"LARGE CITY",1,"Elementary",72,72,"401 LOOMIS AVE","SYRACUSE","NY",13207,"MS.","EVA","WILLIAMS",3154354660,"ewilliams3@scsd.us",-76.15272,43.0071241
"151","7/1/1980","ONONDAGA",421800010008,"EDWARD SMITH K-8 SCHOOL",17,"PUBLIC SCHOOLS",1,"PUBLIC SCHOOL CITY",2,"LARGE CITY",1,"Elementary",72,72,"1106 LANCASTER AVE","SYRACUSE","NY",13210,"MR.","SAMUEL","BARBER",3154354650,"sbarber@scsd.us",-76.123047,43.029657
"152","7/1/1980","ONONDAGA",421800010010,"ROBERTS K-8 SCHOOL",17,"PUBLIC SCHOOLS",1,"PUBLIC SCHOOL CITY",2,"LARGE CITY",1,"Elementary",72,72,"715 GLENWOOD AVE","SYRACUSE","NY",13207,"MR.","JOHN","DEVENDORF",3154354635,"jdevendorf@scsd.us",-76.1718182,43.0190807
"153","7/1/1980","ONONDAGA",421800010011,"MEACHEM ELEMENTARY SCHOOL",17,"PUBLIC SCHOOLS",1,"PUBLIC SCHOOL CITY",2,"LARGE CITY",1,"Elementary",72,72,"171 SPAULDING AVE","SYRACUSE","NY",13205,"MS.","KATHRYNE","MOULTON",3154354610,"kmoulton@scsd.us",-76.1466417,42.986612
"156","7/1/1980","ONONDAGA",421800010015,"HUNTINGTON K-8 SCHOOL",17,"PUBLIC SCHOOLS",1,"PUBLIC SCHOOL CITY",2,"LARGE CITY",1,"Elementary",72,72,"400 SUNNYCREST RD","SYRACUSE","NY",13206,"MS.","JOANNE","HARLOW",3154354565,"jharlow@scsd.us",-76.110686,43.0606314
"157","7/1/1980","ONONDAGA",421800010018,"DR KING ELEMENTARY SCHOOL",17,"PUBLIC SCHOOLS",1,"PUBLIC SCHOOL CITY",2,"LARGE CITY",1,"Elementary",72,72,"416 E RAYNOR AVE","SYRACUSE","NY",13202,"MS.","ANDREA","ELLIS-SMITH",3154354580,"aellis-smith@scsd.us",-76.1442423,43.034958
"158","7/1/1980","ONONDAGA",421800010020,"DANFORTH MIDDLE SCHOOL",17,"PUBLIC SCHOOLS",1,"PUBLIC SCHOOL CITY",2,"LARGE CITY",4,"Junior Senior School",72,72,"309 W BRIGHTON AVE","SYRACUSE","NY",13205,"MR.","GENE","JONES",3154354535,"gjones3@scsd.us",-76.1507545,43.0194474
"159","7/1/1980","ONONDAGA",421800010021,"FRANKLIN ELEMENTARY SCHOOL",17,"PUBLIC SCHOOLS",1,"PUBLIC SCHOOL CITY",2,"LARGE CITY",1,"Elementary",72,72,"428 S ALVORD ST","SYRACUSE","NY",13208,"MS.","KATRINA","ALLEN",3154354550,"kallen@scsd.us",-76.1462992,43.0626747
"160","7/1/1980","ONONDAGA",421800010022,"FRAZER K-8 SCHOOL",17,"PUBLIC SCHOOLS",1,"PUBLIC SCHOOL CITY",2,"LARGE CITY",1,"Elementary",72,72,"741 PARK AVE","SYRACUSE","NY",13204,"MR.","WILLIAM","MECUM",3154354555,"wmecum@scsd.us",-76.1737379,43.051577
"161","7/1/1980","ONONDAGA",421800010025,"HUGHES ELEMENTARY SCHOOL",17,"PUBLIC SCHOOLS",1,"PUBLIC SCHOOL CITY",2,"LARGE CITY",1,"Elementary",72,72,"345 JAMESVILLE AVE","SYRACUSE","NY",13210,"MS.","MARIE","FAY",3154354404,"mfay@scsd.us",-76.1337167,43.0233411
"162","7/1/1980","ONONDAGA",421800010027,"PORTER ELEMENTARY SCHOOL",17,"PUBLIC SCHOOLS",1,"PUBLIC SCHOOL CITY",2,"LARGE CITY",1,"Elementary",72,72,"512 EMERSON AVE","SYRACUSE","NY",13204,"MS.","ANN","SHERWOOD",3154354625,"asherwood@scsd.us",-76.1875226,43.0536601
"165","7/1/1980","ONONDAGA",421800010033,"CORCORAN HIGH SCHOOL",17,"PUBLIC SCHOOLS",1,"PUBLIC SCHOOL CITY",2,"LARGE CITY",5,"Senior High",72,72,"919 GLENWOOD AVE","SYRACUSE","NY",13207,"MR.","JOHN","RIVERS",3154354321,"jrivers@scsd.us",-76.174156,43.017885
"166","7/1/1980","ONONDAGA",421800010035,"GRANT MIDDLE SCHOOL",17,"PUBLIC SCHOOLS",1,"PUBLIC SCHOOL CITY",2,"LARGE CITY",3,"Junior High School",72,72,"2400 GRANT BLVD","SYRACUSE","NY",13208,"MS.","PAMELA","ODOM",3154354433,"podom@scsd.us",-76.1481883,43.0743159
"167","7/1/1980","ONONDAGA",421800010039,"NOTTINGHAM HIGH SCHOOL",17,"PUBLIC SCHOOLS",1,"PUBLIC SCHOOL CITY",2,"LARGE CITY",5,"Senior High",72,72,"3100 E GENESEE ST","SYRACUSE","NY",13224,"MR.","DAVID","MAYNARD",3154354380,"dmaynard@scsd.us",-76.0978925,43.0410394
"168","7/1/1980","ONONDAGA",421800010040,"HENNINGER HIGH SCHOOL",17,"PUBLIC SCHOOLS",1,"PUBLIC SCHOOL CITY",2,"LARGE CITY",5,"Senior High",72,72,"600 ROBINSON ST","SYRACUSE","NY",13206,"MR.","ROBERT","DIFLORIO",3154354343,"rdiflorio@scsd.us",-76.1188171,43.0577607
"169","7/1/1980","ONONDAGA",421800010041,"DELAWARE ACADEMY",17,"PUBLIC SCHOOLS",1,"PUBLIC SCHOOL CITY",2,"LARGE CITY",1,"Elementary",72,72,"900 S GEDDES ST","SYRACUSE","NY",13204,"MS.","MARGARET","WILSON",3154354540,"mwilson@scsd.us",-76.1735075,43.0387675
"170","7/1/1980","ONONDAGA",421800010042,"MCKINLEY-BRIGHTON ELEMENTARY SCHOOL",17,"PUBLIC SCHOOLS",1,"PUBLIC SCHOOL CITY",2,"LARGE CITY",1,"Elementary",72,72,"141 W NEWELL ST","SYRACUSE","NY",13205,"MS.","RENEE","BURGESS",3154354605,"rburgess@scsd.us",-76.1438653,43.0174041
"172","7/1/2007","ONONDAGA",421800010047,"INSTITUTE OF TECHNOLOGY AT SYRACUSE CENTRAL",17,"PUBLIC SCHOOLS",1,"PUBLIC SCHOOL CITY",2,"LARGE CITY",5,"Senior High",72,72,"258 E ADAMS ST","SYRACUSE","NY",13202,"MS.","DONNA","FORMICA",3154354300,"dformica@scsd.us",-76.148238,43.042347
"174","7/1/1980","ONONDAGA",421800010049,"FOWLER HIGH SCHOOL",17,"PUBLIC SCHOOLS",1,"PUBLIC SCHOOL CITY",2,"LARGE CITY",5,"Senior High",72,72,"227 MAGNOLIA ST","SYRACUSE","NY",13204,"MS.","MARGARET","MCROBBIE-TARU",3154354376,"mmcrobbie@scsd.us",-76.1736283,43.0437803
"175","7/1/1980","ONONDAGA",421800010052,"DR WEEKS ELEMENTARY SCHOOL",17,"PUBLIC SCHOOLS",1,"PUBLIC SCHOOL CITY",2,"LARGE CITY",1,"Elementary",72,72,"710 HAWLEY AVE","SYRACUSE","NY",13203,"MS.","CARIN","REEVE-LARHAM",3154354097,"creeve-larham@scsd.us",-76.1323382,43.0547312
"176","7/1/2009","ONONDAGA",421800010058,"EXPEDITIONARY LEARNING MIDDLE SCHOOL",17,"PUBLIC SCHOOLS",1,"PUBLIC SCHOOL CITY",2,"LARGE CITY",2,"Middle School",72,72,"4942 S SALINA ST","SYRACUSE","NY",13205,"MR.","KEVIN","BURNS",3154356416,"kburns@scsd.us",-76.145212,42.996792
"177","7/1/2011","ONONDAGA",421800010060,"WESTSIDE ACADEMY AT BLODGETT",17,"PUBLIC SCHOOLS",1,"PUBLIC SCHOOL CITY",2,"LARGE CITY",3,"Junior High School",72,72,"312 OSWEGO ST","SYRACUSE","NY",13204,"MS.","VANESSA","HOPKINS",3154354386,"vhopkins@scsd.us",-76.165241,43.0445001
"180","7/1/2014","ONONDAGA",421800010072,"DELAWARE PRIMARY SCHOOL",17,"PUBLIC SCHOOLS",1,"PUBLIC SCHOOL CITY",2,"LARGE CITY",1,"Elementary",72,72,"900 S GEDDES ST","SYRACUSE","NY",13204,"MR.","ELIEZER","HERNANDEZ",3154354540,"ehernandez2@scsd.us",-76.1735075,43.0387675
