name	month	Gender	Ethnicity	IEP	satisfactory	mildly.chronic	moderately.chronic	chronic
Franklin Elementary School	10	Male	White	No	35	0	0	3
Franklin Elementary School	10	Male	White	Yes	19	0	0	3
Frazer Elementary School	1	Female	Black	No	35	16	15	7
Frazer Elementary School	1	Female	Black	Yes	5	5	0	1
Frazer Elementary School	1	Female	Hispanic	No	15	10	11	1
Frazer Elementary School	1	Female	Hispanic	Yes	4	2	2	0
Frazer Elementary School	1	Female	Other	No	34	8	6	5
Frazer Elementary School	1	Female	Other	Yes	4	2	2	1
Frazer Elementary School	1	Female	White	No	27	10	9	10
Frazer Elementary School	1	Female	White	Yes	3	6	2	2
Frazer Elementary School	1	Male	Black	No	21	13	8	8
Frazer Elementary School	1	Male	Black	Yes	17	4	4	1
Frazer Elementary School	1	Male	Hispanic	No	20	10	2	2
Frazer Elementary School	1	Male	Hispanic	Yes	7	1	2	1
Frazer Elementary School	1	Male	Other	No	31	10	6	2
Frazer Elementary School	1	Male	Other	Yes	4	0	3	0
Frazer Elementary School	1	Male	White	No	14	10	12	10
Frazer Elementary School	1	Male	White	Yes	13	12	7	0
Frazer Elementary School	2	Female	Black	No	43	12	8	9
Frazer Elementary School	2	Female	Black	Yes	9	0	1	1
Frazer Elementary School	2	Female	Hispanic	No	21	3	11	2
Frazer Elementary School	2	Female	Hispanic	Yes	4	1	2	1
Frazer Elementary School	2	Female	Other	No	40	3	5	5
Frazer Elementary School	2	Female	Other	Yes	5	1	2	1
Frazer Elementary School	2	Female	White	No	32	6	8	11
Frazer Elementary School	2	Female	White	Yes	7	2	3	0
Frazer Elementary School	2	Male	Black	No	33	8	2	3
Frazer Elementary School	2	Male	Black	Yes	16	6	2	2
Frazer Elementary School	2	Male	Hispanic	No	20	8	3	3
Frazer Elementary School	2	Male	Hispanic	Yes	5	2	2	3
Frazer Elementary School	2	Male	Other	No	39	5	4	1
Frazer Elementary School	2	Male	Other	Yes	6	1	0	0
Frazer Elementary School	2	Male	White	No	26	6	8	4
Frazer Elementary School	2	Male	White	Yes	16	7	6	4
Frazer Elementary School	3	Female	Black	No	19	22	18	13
Frazer Elementary School	3	Female	Black	Yes	4	1	4	2
Frazer Elementary School	3	Female	Hispanic	No	11	4	16	6
Frazer Elementary School	3	Female	Hispanic	Yes	3	1	2	2
Frazer Elementary School	3	Female	Other	No	33	6	8	6
Frazer Elementary School	3	Female	Other	Yes	4	1	3	1
Frazer Elementary School	3	Female	White	No	11	9	18	18
Frazer Elementary School	3	Female	White	Yes	3	0	6	3
Frazer Elementary School	3	Male	Black	No	19	13	11	4
Frazer Elementary School	3	Male	Black	Yes	9	6	8	3
Frazer Elementary School	3	Male	Hispanic	No	12	5	13	4
Frazer Elementary School	3	Male	Hispanic	Yes	1	2	2	5
Frazer Elementary School	3	Male	Other	No	24	8	6	11
Frazer Elementary School	3	Male	Other	Yes	0	4	3	0
Frazer Elementary School	3	Male	White	No	8	17	10	10
Frazer Elementary School	3	Male	White	Yes	8	4	13	7
Frazer Elementary School	4	Female	Black	No	24	14	25	9
Frazer Elementary School	4	Female	Black	Yes	5	1	4	1
Frazer Elementary School	4	Female	Hispanic	No	5	7	16	9
Frazer Elementary School	4	Female	Hispanic	Yes	2	0	5	1
Frazer Elementary School	4	Female	Other	No	31	9	9	4
Frazer Elementary School	4	Female	Other	Yes	6	1	0	1
Frazer Elementary School	4	Female	White	No	18	12	10	15
Frazer Elementary School	4	Female	White	Yes	1	3	6	2
Frazer Elementary School	4	Male	Black	No	19	6	13	9
Frazer Elementary School	4	Male	Black	Yes	9	4	10	2
Frazer Elementary School	4	Male	Hispanic	No	9	6	11	8
Frazer Elementary School	4	Male	Hispanic	Yes	0	3	3	4
Frazer Elementary School	4	Male	Other	No	20	21	1	7
Frazer Elementary School	4	Male	Other	Yes	2	3	2	0
Frazer Elementary School	4	Male	White	No	17	10	13	6
Frazer Elementary School	4	Male	White	Yes	10	6	9	7
Frazer Elementary School	5	Female	Black	No	21	17	19	14
Frazer Elementary School	5	Female	Black	Yes	6	0	3	2
Frazer Elementary School	5	Female	Hispanic	No	12	7	13	5
Frazer Elementary School	5	Female	Hispanic	Yes	3	2	1	2
Frazer Elementary School	5	Female	Other	No	30	12	6	5
Frazer Elementary School	5	Female	Other	Yes	2	3	2	1
Frazer Elementary School	5	Female	White	No	18	6	12	17
Frazer Elementary School	5	Female	White	Yes	3	1	4	4
Frazer Elementary School	5	Male	Black	No	19	7	9	12
Frazer Elementary School	5	Male	Black	Yes	8	10	6	1
Frazer Elementary School	5	Male	Hispanic	No	11	6	10	7
Frazer Elementary School	5	Male	Hispanic	Yes	1	2	4	3
Frazer Elementary School	5	Male	Other	No	24	10	8	7
Frazer Elementary School	5	Male	Other	Yes	2	3	1	1
Frazer Elementary School	5	Male	White	No	13	13	12	9
Frazer Elementary School	5	Male	White	Yes	11	5	5	11
Frazer Elementary School	6	Female	Black	No	32	14	14	11
Frazer Elementary School	6	Female	Black	Yes	5	3	2	1
Frazer Elementary School	6	Female	Hispanic	No	8	15	9	4
Frazer Elementary School	6	Female	Hispanic	Yes	3	2	1	2
Frazer Elementary School	6	Female	Other	No	27	10	10	6
Frazer Elementary School	6	Female	Other	Yes	4	1	2	2
Frazer Elementary School	6	Female	White	No	16	11	11	15
Frazer Elementary School	6	Female	White	Yes	4	2	4	3
Frazer Elementary School	6	Male	Black	No	23	10	9	6
Frazer Elementary School	6	Male	Black	Yes	11	7	4	4
Frazer Elementary School	6	Male	Hispanic	No	12	7	7	6
Frazer Elementary School	6	Male	Hispanic	Yes	2	2	4	2
Frazer Elementary School	6	Male	Other	No	21	14	8	4
Frazer Elementary School	6	Male	Other	Yes	3	1	3	0
Frazer Elementary School	6	Male	White	No	15	11	12	6
Frazer Elementary School	6	Male	White	Yes	7	10	9	5
Frazer Elementary School	7	Female	Black	No	45	8	12	6
Frazer Elementary School	7	Female	Black	Yes	6	3	1	1
Frazer Elementary School	7	Female	Hispanic	No	18	8	7	4
Frazer Elementary School	7	Female	Hispanic	Yes	4	0	0	4
Frazer Elementary School	7	Female	Other	No	38	5	8	3
Frazer Elementary School	7	Female	Other	Yes	7	2	0	1
Frazer Elementary School	7	Female	White	No	24	6	12	10
Frazer Elementary School	7	Female	White	Yes	6	1	3	4
Frazer Elementary School	7	Male	Black	No	35	4	8	7
Frazer Elementary School	7	Male	Black	Yes	12	5	6	5
Frazer Elementary School	7	Male	Hispanic	No	18	7	4	5
Frazer Elementary School	7	Male	Hispanic	Yes	4	5	1	3
Frazer Elementary School	7	Male	Other	No	33	6	4	4
Frazer Elementary School	7	Male	Other	Yes	4	1	0	2
Frazer Elementary School	7	Male	White	No	23	10	5	6
Frazer Elementary School	7	Male	White	Yes	13	3	8	6
Frazer Elementary School	8	Female	Black	No	33	18	13	7
Frazer Elementary School	8	Female	Black	Yes	5	1	2	3
Frazer Elementary School	8	Female	Hispanic	No	9	12	10	5
Frazer Elementary School	8	Female	Hispanic	Yes	1	4	1	2
Frazer Elementary School	8	Female	Other	No	25	15	10	3
Frazer Elementary School	8	Female	Other	Yes	3	3	2	2
Frazer Elementary School	8	Female	White	No	19	10	13	9
Frazer Elementary School	8	Female	White	Yes	2	4	6	2
Frazer Elementary School	8	Male	Black	No	25	14	9	5
Frazer Elementary School	8	Male	Black	Yes	14	3	8	3
Frazer Elementary School	8	Male	Hispanic	No	16	9	6	3
Frazer Elementary School	8	Male	Hispanic	Yes	6	1	5	1
Frazer Elementary School	8	Male	Other	No	29	10	8	0
Frazer Elementary School	8	Male	Other	Yes	3	0	4	0
Frazer Elementary School	8	Male	White	No	15	10	12	6
Frazer Elementary School	8	Male	White	Yes	12	10	3	6
Frazer Elementary School	9	Female	Black	No	50	2	10	9
Frazer Elementary School	9	Female	Black	Yes	7	0	3	1
Frazer Elementary School	9	Female	Hispanic	No	26	1	8	1
Frazer Elementary School	9	Female	Hispanic	Yes	5	0	2	1
Frazer Elementary School	9	Female	Other	No	42	4	5	2
Frazer Elementary School	9	Female	Other	Yes	8	1	0	1
Frazer Elementary School	9	Female	White	No	25	6	8	11
Frazer Elementary School	9	Female	White	Yes	6	4	1	2
Frazer Elementary School	9	Male	Black	No	36	7	6	6
Frazer Elementary School	9	Male	Black	Yes	20	4	1	3
Frazer Elementary School	9	Male	Hispanic	No	19	5	6	5
Frazer Elementary School	9	Male	Hispanic	Yes	6	2	2	3
Frazer Elementary School	9	Male	Other	No	35	5	2	6
Frazer Elementary School	9	Male	Other	Yes	4	1	1	1
Frazer Elementary School	9	Male	White	No	24	8	4	7
Frazer Elementary School	9	Male	White	Yes	15	5	9	1
Frazer Elementary School	10	Female	Black	No	63	0	0	8
Frazer Elementary School	10	Female	Black	Yes	9	0	0	2
Frazer Elementary School	10	Female	Hispanic	No	31	0	0	5
Frazer Elementary School	10	Female	Hispanic	Yes	7	0	0	1
Frazer Elementary School	10	Female	Other	No	48	0	0	5
Frazer Elementary School	10	Female	Other	Yes	8	0	0	2
Frazer Elementary School	10	Female	White	No	45	0	0	5
Frazer Elementary School	10	Female	White	Yes	13	0	0	0
Frazer Elementary School	10	Male	Black	No	49	0	0	6
Frazer Elementary School	10	Male	Black	Yes	25	0	0	3
Frazer Elementary School	10	Male	Hispanic	No	30	0	0	5
Frazer Elementary School	10	Male	Hispanic	Yes	12	0	0	1
Frazer Elementary School	10	Male	Other	No	47	0	0	1
Frazer Elementary School	10	Male	Other	Yes	6	0	0	1
Frazer Elementary School	10	Male	White	No	38	0	0	4
Frazer Elementary School	10	Male	White	Yes	24	0	0	5
Frazer Middle School	1	Female	Black	No	62	10	2	0
Frazer Middle School	1	Female	Black	Yes	5	5	1	0
Frazer Middle School	1	Female	Hispanic	No	28	5	4	0
Frazer Middle School	1	Female	Hispanic	Yes	5	1	1	1
Frazer Middle School	1	Female	Other	No	29	1	0	0
Frazer Middle School	1	Female	Other	Yes	2	0	0	0
Frazer Middle School	1	Female	White	No	31	3	6	2
Frazer Middle School	1	Female	White	Yes	8	2	0	0
Frazer Middle School	1	Male	Black	No	56	6	3	1
Frazer Middle School	1	Male	Black	Yes	16	4	2	0
Frazer Middle School	1	Male	Hispanic	No	17	2	0	0
Frazer Middle School	1	Male	Hispanic	Yes	5	4	3	0
Frazer Middle School	1	Male	Other	No	38	4	1	1
Frazer Middle School	1	Male	Other	Yes	1	1	1	0
Frazer Middle School	1	Male	White	No	23	5	2	2
Frazer Middle School	1	Male	White	Yes	13	4	3	1
Frazer Middle School	2	Female	Black	No	69	2	0	1
Frazer Middle School	2	Female	Black	Yes	9	1	0	0
Frazer Middle School	2	Female	Hispanic	No	32	2	2	1
Frazer Middle School	2	Female	Hispanic	Yes	7	1	1	0
Frazer Middle School	2	Female	Other	No	29	1	0	0
Frazer Middle School	2	Female	Other	Yes	2	0	0	0
Frazer Middle School	2	Female	White	No	40	1	0	1
Frazer Middle School	2	Female	White	Yes	9	0	0	1
Frazer Middle School	2	Male	Black	No	64	0	0	0
Frazer Middle School	2	Male	Black	Yes	20	0	1	1
Frazer Middle School	2	Male	Hispanic	No	19	0	0	0
Frazer Middle School	2	Male	Hispanic	Yes	11	0	0	1
Frazer Middle School	2	Male	Other	No	41	1	0	2
Frazer Middle School	2	Male	Other	Yes	2	1	0	0
Frazer Middle School	2	Male	White	No	26	1	0	3
Frazer Middle School	2	Male	White	Yes	13	4	3	1
Frazer Middle School	3	Female	Black	No	52	17	3	0
Frazer Middle School	3	Female	Black	Yes	6	3	1	0
Frazer Middle School	3	Female	Hispanic	No	25	8	4	1
Frazer Middle School	3	Female	Hispanic	Yes	3	3	2	0
Frazer Middle School	3	Female	Other	No	27	1	2	0
Frazer Middle School	3	Female	Other	Yes	2	0	0	0
Frazer Middle School	3	Female	White	No	28	13	4	0
Frazer Middle School	3	Female	White	Yes	4	2	1	2
Frazer Middle School	3	Male	Black	No	50	9	3	2
Frazer Middle School	3	Male	Black	Yes	17	3	1	0
Frazer Middle School	3	Male	Hispanic	No	13	5	1	0
Frazer Middle School	3	Male	Hispanic	Yes	3	7	1	1
Frazer Middle School	3	Male	Other	No	37	5	1	1
Frazer Middle School	3	Male	Other	Yes	1	1	1	0
Frazer Middle School	3	Male	White	No	21	4	2	3
Frazer Middle School	3	Male	White	Yes	10	4	5	2
Frazer Middle School	4	Female	Black	No	64	4	4	0
Frazer Middle School	4	Female	Black	Yes	7	1	1	1
Frazer Middle School	4	Female	Hispanic	No	25	6	6	1
Frazer Middle School	4	Female	Hispanic	Yes	3	3	0	2
Frazer Middle School	4	Female	Other	No	28	2	0	0
Frazer Middle School	4	Female	Other	Yes	2	0	0	0
Frazer Middle School	4	Female	White	No	26	11	7	1
Frazer Middle School	4	Female	White	Yes	5	2	2	0
Frazer Middle School	4	Male	Black	No	52	11	1	0
Frazer Middle School	4	Male	Black	Yes	13	5	3	0
Frazer Middle School	4	Male	Hispanic	No	13	5	1	0
Frazer Middle School	4	Male	Hispanic	Yes	5	4	2	1
Frazer Middle School	4	Male	Other	No	35	7	0	1
Frazer Middle School	4	Male	Other	Yes	1	0	2	0
Frazer Middle School	4	Male	White	No	20	6	3	0
Frazer Middle School	4	Male	White	Yes	9	4	3	5
Frazer Middle School	5	Female	Black	No	61	4	3	2
Frazer Middle School	5	Female	Black	Yes	6	1	2	0
Frazer Middle School	5	Female	Hispanic	No	27	6	3	2
Frazer Middle School	5	Female	Hispanic	Yes	5	0	0	3
Frazer Middle School	5	Female	Other	No	27	3	1	0
Frazer Middle School	5	Female	Other	Yes	1	1	0	0
Frazer Middle School	5	Female	White	No	29	10	6	0
Frazer Middle School	5	Female	White	Yes	5	1	1	2
Frazer Middle School	5	Male	Black	No	52	7	3	0
Frazer Middle School	5	Male	Black	Yes	13	3	3	3
Frazer Middle School	5	Male	Hispanic	No	12	6	1	0
Frazer Middle School	5	Male	Hispanic	Yes	6	3	1	2
Frazer Middle School	5	Male	Other	No	33	8	1	1
Frazer Middle School	5	Male	Other	Yes	1	0	2	0
Frazer Middle School	5	Male	White	No	22	4	2	1
Frazer Middle School	5	Male	White	Yes	14	2	2	4
Frazer Middle School	6	Female	Black	No	57	10	1	1
Frazer Middle School	6	Female	Black	Yes	5	3	1	0
Frazer Middle School	6	Female	Hispanic	No	30	3	3	2
Frazer Middle School	6	Female	Hispanic	Yes	3	1	4	0
Frazer Middle School	6	Female	Other	No	29	2	0	0
Frazer Middle School	6	Female	Other	Yes	2	0	0	0
Frazer Middle School	6	Female	White	No	33	6	2	3
Frazer Middle School	6	Female	White	Yes	8	0	1	0
Frazer Middle School	6	Male	Black	No	51	8	4	0
Frazer Middle School	6	Male	Black	Yes	18	1	2	1
Frazer Middle School	6	Male	Hispanic	No	13	5	1	0
Frazer Middle School	6	Male	Hispanic	Yes	6	4	1	1
Frazer Middle School	6	Male	Other	No	41	1	1	1
Frazer Middle School	6	Male	Other	Yes	2	1	0	0
Frazer Middle School	6	Male	White	No	20	4	4	0
Frazer Middle School	6	Male	White	Yes	15	2	1	4
Frazer Middle School	7	Female	Black	No	70	2	4	0
Frazer Middle School	7	Female	Black	Yes	8	0	1	0
Frazer Middle School	7	Female	Hispanic	No	34	2	1	2
Frazer Middle School	7	Female	Hispanic	Yes	5	2	1	0
Frazer Middle School	7	Female	Other	No	31	0	0	0
Frazer Middle School	7	Female	Other	Yes	2	0	0	0
Frazer Middle School	7	Female	White	No	39	4	1	0
Frazer Middle School	7	Female	White	Yes	7	0	2	0
Frazer Middle School	7	Male	Black	No	60	2	1	1
Frazer Middle School	7	Male	Black	Yes	19	1	1	1
Frazer Middle School	7	Male	Hispanic	No	18	2	0	0
Frazer Middle School	7	Male	Hispanic	Yes	9	1	1	1
Frazer Middle School	7	Male	Other	No	43	1	1	0
Frazer Middle School	7	Male	Other	Yes	3	0	0	0
Frazer Middle School	7	Male	White	No	26	0	1	1
Frazer Middle School	7	Male	White	Yes	15	3	1	3
Frazer Middle School	8	Female	Black	No	70	3	2	1
Frazer Middle School	8	Female	Black	Yes	8	1	0	0
Frazer Middle School	8	Female	Hispanic	No	31	4	4	0
Frazer Middle School	8	Female	Hispanic	Yes	2	4	2	0
Frazer Middle School	8	Female	Other	No	28	2	1	0
Frazer Middle School	8	Female	Other	Yes	2	0	0	0
Frazer Middle School	8	Female	White	No	31	10	3	0
Frazer Middle School	8	Female	White	Yes	7	1	1	0
Frazer Middle School	8	Male	Black	No	55	9	2	0
Frazer Middle School	8	Male	Black	Yes	19	2	1	0
Frazer Middle School	8	Male	Hispanic	No	15	3	2	0
Frazer Middle School	8	Male	Hispanic	Yes	8	1	2	1
Frazer Middle School	8	Male	Other	No	42	3	0	0
Frazer Middle School	8	Male	Other	Yes	2	1	0	0
Frazer Middle School	8	Male	White	No	20	5	2	1
Frazer Middle School	8	Male	White	Yes	14	3	2	3
Frazer Middle School	9	Female	Black	No	74	1	0	0
Frazer Middle School	9	Female	Black	Yes	6	0	2	0
Frazer Middle School	9	Female	Hispanic	No	30	7	1	1
Frazer Middle School	9	Female	Hispanic	Yes	6	0	0	2
Frazer Middle School	9	Female	Other	No	30	1	0	0
Frazer Middle School	9	Female	Other	Yes	2	0	0	0
Frazer Middle School	9	Female	White	No	38	3	3	0
Frazer Middle School	9	Female	White	Yes	7	1	1	0
Frazer Middle School	9	Male	Black	No	62	4	1	0
Frazer Middle School	9	Male	Black	Yes	21	0	1	0
Frazer Middle School	9	Male	Hispanic	No	19	1	0	0
Frazer Middle School	9	Male	Hispanic	Yes	9	0	2	1
Frazer Middle School	9	Male	Other	No	43	1	1	0
Frazer Middle School	9	Male	Other	Yes	1	2	0	0
Frazer Middle School	9	Male	White	No	24	2	0	2
Frazer Middle School	9	Male	White	Yes	17	3	1	1
Frazer Middle School	10	Female	Black	No	75	0	0	0
Frazer Middle School	10	Female	Black	Yes	8	0	0	0
Frazer Middle School	10	Female	Hispanic	No	39	0	0	0
Frazer Middle School	10	Female	Hispanic	Yes	8	0	0	0
Frazer Middle School	10	Female	Other	No	31	0	0	0
Frazer Middle School	10	Female	Other	Yes	2	0	0	0
Frazer Middle School	10	Female	White	No	43	0	0	1
Frazer Middle School	10	Female	White	Yes	9	0	0	0
Frazer Middle School	10	Male	Black	No	67	0	0	0
Frazer Middle School	10	Male	Black	Yes	21	0	0	1
Frazer Middle School	10	Male	Hispanic	No	19	0	0	1
Frazer Middle School	10	Male	Hispanic	Yes	11	0	0	1
Frazer Middle School	10	Male	Other	No	43	0	0	1
Frazer Middle School	10	Male	Other	Yes	3	0	0	0
Frazer Middle School	10	Male	White	No	27	0	0	0
Frazer Middle School	10	Male	White	Yes	20	0	0	2
GPS Elementary Program	2	Male	Black	No	2	0	0	0
GPS Elementary Program	2	Male	Hispanic	No	2	0	0	0
GPS Elementary Program	2	Male	Hispanic	Yes	1	0	0	0
GPS Elementary Program	3	Female	Black	No	1	0	0	0
GPS Elementary Program	3	Female	Black	Yes	1	0	0	0
GPS Elementary Program	3	Female	Other	Yes	1	0	0	0
GPS Elementary Program	3	Male	Black	No	2	2	0	0
GPS Elementary Program	3	Male	Black	Yes	1	2	1	1
GPS Elementary Program	3	Male	Hispanic	No	1	1	0	0
GPS Elementary Program	3	Male	Hispanic	Yes	1	0	0	0
GPS Elementary Program	3	Male	White	Yes	1	0	0	0
GPS Elementary Program	4	Female	Black	No	1	0	0	0
GPS Elementary Program	4	Female	Black	Yes	0	1	0	0
GPS Elementary Program	4	Female	Other	Yes	0	0	1	0
GPS Elementary Program	4	Male	Black	No	1	0	3	0
GPS Elementary Program	4	Male	Black	Yes	2	2	0	2
GPS Elementary Program	4	Male	Hispanic	No	0	1	1	0
GPS Elementary Program	4	Male	Hispanic	Yes	0	0	1	0
GPS Elementary Program	4	Male	White	No	1	1	0	0
GPS Elementary Program	4	Male	White	Yes	0	0	1	0
GPS Elementary Program	5	Female	Black	No	0	1	0	0
GPS Elementary Program	5	Female	Black	Yes	0	0	1	0
GPS Elementary Program	5	Female	Other	No	0	1	0	0
GPS Elementary Program	5	Female	Other	Yes	1	0	0	0
GPS Elementary Program	5	Male	Black	No	1	0	1	2
GPS Elementary Program	5	Male	Black	Yes	1	1	1	3
GPS Elementary Program	5	Male	Hispanic	No	1	0	1	0
GPS Elementary Program	5	Male	Hispanic	Yes	0	0	0	1
GPS Elementary Program	5	Male	Other	No	1	0	0	1
GPS Elementary Program	5	Male	White	No	1	0	1	1
GPS Elementary Program	5	Male	White	Yes	0	0	0	1
GPS Elementary Program	6	Female	Black	No	0	1	0	0
GPS Elementary Program	6	Female	Black	Yes	1	0	0	0
GPS Elementary Program	6	Female	Other	No	1	0	0	0
GPS Elementary Program	6	Female	Other	Yes	0	0	1	0
GPS Elementary Program	6	Male	Black	No	3	0	2	0
GPS Elementary Program	6	Male	Black	Yes	4	0	0	1
GPS Elementary Program	6	Male	Hispanic	No	1	1	1	0
GPS Elementary Program	6	Male	Other	No	1	0	0	1
GPS Elementary Program	6	Male	White	No	1	0	0	1
GPS Elementary Program	6	Male	White	Yes	0	1	0	0
GPS Elementary Program	7	Female	Black	Yes	1	0	0	0
GPS Elementary Program	7	Female	Other	No	0	0	1	0
GPS Elementary Program	7	Male	Black	No	1	3	1	1
GPS Elementary Program	7	Male	Black	Yes	1	1	1	1
GPS Elementary Program	7	Male	Hispanic	No	2	0	1	0
GPS Elementary Program	7	Male	Other	No	1	0	0	1
GPS Elementary Program	7	Male	White	No	0	1	0	1
GPS Elementary Program	7	Male	White	Yes	1	0	0	0
GPS Elementary Program	8	Female	Black	Yes	0	0	0	1
GPS Elementary Program	8	Female	Other	No	0	0	0	1
GPS Elementary Program	8	Male	Black	No	2	3	0	2
GPS Elementary Program	8	Male	Black	Yes	1	0	0	2
GPS Elementary Program	8	Male	Hispanic	No	2	0	1	0
GPS Elementary Program	8	Male	Other	No	0	1	0	1
GPS Elementary Program	8	Male	White	No	0	0	0	1
GPS Elementary Program	8	Male	White	Yes	1	0	0	0
GPS Elementary Program	9	Female	Black	No	1	0	0	0
GPS Elementary Program	9	Female	Other	No	1	0	0	0
GPS Elementary Program	9	Male	Black	No	3	0	0	4
GPS Elementary Program	9	Male	Hispanic	No	2	1	0	0
GPS Elementary Program	9	Male	Other	No	1	0	0	1
GPS Elementary Program	9	Male	White	No	0	0	0	1
GPS Elementary Program	9	Male	White	Yes	1	0	0	0
GPS Elementary Program	10	Female	Black	No	1	0	0	0
GPS Elementary Program	10	Female	Other	No	1	0	0	0
GPS Elementary Program	10	Male	Black	No	5	0	0	2
GPS Elementary Program	10	Male	Hispanic	No	3	0	0	0
GPS Elementary Program	10	Male	Other	No	1	0	0	1
GPS Elementary Program	10	Male	White	No	0	0	0	1
GPS Elementary Program	10	Male	White	Yes	1	0	0	0
Grant Middle School	1	Female	Black	No	48	18	10	9
Grant Middle School	1	Female	Black	Yes	10	4	5	3
Grant Middle School	1	Female	Hispanic	No	10	2	5	4
Grant Middle School	1	Female	Hispanic	Yes	5	2	1	1
Grant Middle School	1	Female	Other	No	39	7	10	3
Grant Middle School	1	Female	Other	Yes	1	0	1	1
Grant Middle School	1	Female	White	No	35	19	15	7
Grant Middle School	1	Female	White	Yes	11	2	1	0
Grant Middle School	1	Male	Black	No	53	22	13	11
Grant Middle School	1	Male	Black	Yes	12	5	9	2
Grant Middle School	1	Male	Hispanic	No	10	5	6	1
Grant Middle School	1	Male	Hispanic	Yes	3	3	2	3
Grant Middle School	1	Male	Other	No	44	9	4	1
Grant Middle School	1	Male	Other	Yes	1	0	1	1
Grant Middle School	1	Male	White	No	36	23	10	4
Grant Middle School	1	Male	White	Yes	21	10	4	5
Grant Middle School	2	Female	Black	No	64	7	6	11
Grant Middle School	2	Female	Black	Yes	11	5	2	3
Grant Middle School	2	Female	Hispanic	No	12	2	5	1
Grant Middle School	2	Female	Hispanic	Yes	4	3	1	1
Grant Middle School	2	Female	Other	No	49	2	4	3
Grant Middle School	2	Female	Other	Yes	2	0	0	1
Grant Middle School	2	Female	White	No	61	7	3	5
Grant Middle School	2	Female	White	Yes	11	1	2	0
Grant Middle School	2	Male	Black	No	74	14	9	3
Grant Middle School	2	Male	Black	Yes	22	3	1	2
Grant Middle School	2	Male	Hispanic	No	17	3	1	2
Grant Middle School	2	Male	Hispanic	Yes	2	4	3	3
Grant Middle School	2	Male	Other	No	50	6	3	1
Grant Middle School	2	Male	Other	Yes	0	1	1	1
Grant Middle School	2	Male	White	No	42	13	10	7
Grant Middle School	2	Male	White	Yes	23	9	5	3
Grant Middle School	3	Female	Black	No	45	20	11	9
Grant Middle School	3	Female	Black	Yes	6	3	5	6
Grant Middle School	3	Female	Hispanic	No	10	3	5	2
Grant Middle School	3	Female	Hispanic	Yes	3	2	2	2
Grant Middle School	3	Female	Other	No	28	16	10	4
Grant Middle School	3	Female	Other	Yes	0	0	1	2
Grant Middle School	3	Female	White	No	34	17	16	8
Grant Middle School	3	Female	White	Yes	5	3	4	2
Grant Middle School	3	Male	Black	No	59	17	19	9
Grant Middle School	3	Male	Black	Yes	7	9	9	3
Grant Middle School	3	Male	Hispanic	No	10	3	7	2
Grant Middle School	3	Male	Hispanic	Yes	0	2	7	3
Grant Middle School	3	Male	Other	No	35	15	7	3
Grant Middle School	3	Male	Other	Yes	1	0	1	1
Grant Middle School	3	Male	White	No	28	15	23	5
Grant Middle School	3	Male	White	Yes	10	8	10	11
Grant Middle School	4	Female	Black	No	49	19	12	6
Grant Middle School	4	Female	Black	Yes	8	2	6	4
Grant Middle School	4	Female	Hispanic	No	7	10	2	2
Grant Middle School	4	Female	Hispanic	Yes	3	4	0	1
Grant Middle School	4	Female	Other	No	28	17	10	3
Grant Middle School	4	Female	Other	Yes	0	0	0	3
Grant Middle School	4	Female	White	No	34	22	13	6
Grant Middle School	4	Female	White	Yes	7	2	2	4
Grant Middle School	4	Male	Black	No	54	26	13	10
Grant Middle School	4	Male	Black	Yes	9	9	8	2
Grant Middle School	4	Male	Hispanic	No	7	9	3	3
Grant Middle School	4	Male	Hispanic	Yes	1	6	4	1
Grant Middle School	4	Male	Other	No	35	14	7	4
Grant Middle School	4	Male	Other	Yes	0	1	1	1
Grant Middle School	4	Male	White	No	28	16	13	14
Grant Middle School	4	Male	White	Yes	12	8	9	10
Grant Middle School	5	Female	Black	No	55	10	15	9
Grant Middle School	5	Female	Black	Yes	9	4	4	3
Grant Middle School	5	Female	Hispanic	No	7	7	5	2
Grant Middle School	5	Female	Hispanic	Yes	2	2	3	1
Grant Middle School	5	Female	Other	No	31	16	6	4
Grant Middle School	5	Female	Other	Yes	0	0	1	2
Grant Middle School	5	Female	White	No	40	15	8	11
Grant Middle School	5	Female	White	Yes	4	4	3	4
Grant Middle School	5	Male	Black	No	62	17	14	9
Grant Middle School	5	Male	Black	Yes	9	9	8	3
Grant Middle School	5	Male	Hispanic	No	9	7	3	3
Grant Middle School	5	Male	Hispanic	Yes	4	2	4	2
Grant Middle School	5	Male	Other	No	40	14	3	4
Grant Middle School	5	Male	Other	Yes	0	1	2	0
Grant Middle School	5	Male	White	No	33	16	15	6
Grant Middle School	5	Male	White	Yes	14	8	9	7
Grant Middle School	6	Female	Black	No	52	19	16	4
Grant Middle School	6	Female	Black	Yes	6	5	4	4
Grant Middle School	6	Female	Hispanic	No	4	6	8	3
Grant Middle School	6	Female	Hispanic	Yes	1	3	3	0
Grant Middle School	6	Female	Other	No	36	8	13	1
Grant Middle School	6	Female	Other	Yes	0	0	2	1
Grant Middle School	6	Female	White	No	40	10	13	11
Grant Middle School	6	Female	White	Yes	7	2	4	2
Grant Middle School	6	Male	Black	No	55	26	16	6
Grant Middle School	6	Male	Black	Yes	11	7	9	3
Grant Middle School	6	Male	Hispanic	No	9	5	7	1
Grant Middle School	6	Male	Hispanic	Yes	2	5	4	0
